subject,idna_subject,expiration_date,epoch,registrar
zalukaj.com,zalukaj.com,30-apr-2026,1777507200.0,Tucows Domains Inc.
nextclick.pl,nextclick.pl,16-feb-2024,1708041600.0,
upvid.co,upvid.co,16-may-2024,1715817600.0,Tucows Domains Inc.
40ton.net,40ton.net,06-dec-2024,1733443200.0,OVH sas
24opole.pl,24opole.pl,03-nov-2024,1730592000.0,
4lomza.pl,4lomza.pl,21-mar-2024,1710979200.0,
4media.com,4media.com,04-jul-2024,1720051200.0,"Network Solutions, LLC"
5v.pl,5v.pl,29-may-2025,1748476800.0,
adglare.org,adglare.org,28-feb-2024,1709078400.0,Key-Systems GmbH
adclick.lt,adclick.lt,18-oct-2024,1729209600.0,Tool Domains Ltd
ads-tejot.pl,ads-tejot.pl,11-oct-2024,1728604800.0,
adsb4track.com,adsb4track.com,09-nov-2026,1794182400.0,Key-Systems GmbH
adtelier.pl,adtelier.pl,29-sep-2024,1727568000.0,
advertising.com,advertising.com,04-jan-2024,1704326400.0,MarkMonitor Inc.
affiliates-solutions.com,affiliates-solutions.com,27-feb-2024,1708992000.0,OVH sas
agoraperformance.pl,agoraperformance.pl,29-nov-2024,1732838400.0,
alemiasto.pl,alemiasto.pl,17-mar-2024,1710633600.0,
allegrostatic.pl,allegrostatic.pl,06-nov-2024,1730851200.0,
anime24.pl,anime24.pl,18-jan-2026,1768694400.0,
animes.pl,animes.pl,25-jun-2024,1719273600.0,
antygrupa.pl,antygrupa.pl,11-mar-2024,1710115200.0,
antyweb.pl,antyweb.pl,24-mar-2024,1711238400.0,
autotrader.pl,autotrader.pl,17-apr-2024,1713312000.0,
avanti.fashion,avanti.fashion,16-jul-2024,1721088000.0,Key-Systems LLC
atrexpress.com.pl,atrexpress.com.pl,25-aug-2024,1724544000.0,
benchmark.pl,benchmark.pl,31-jul-2024,1722384000.0,
avanti24.pl,avanti24.pl,13-feb-2024,1707782400.0,
baxu.pl,baxu.pl,20-jul-2024,1721433600.0,
bitbay.net,bitbay.net,30-mar-2024,1711756800.0,MarkMonitor Inc.
aparat.cam,aparat.cam,12-jun-2024,1718150400.0,"Name.com, Inc"
bit.ly,bit.ly,17-may-2032,1968364800.0,Libyan Spider Network (int)
bham.pl,bham.pl,20-mar-2026,1773964800.0,
bolec.info,bolec.info,10-apr-2024,1712707200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
blogomaniak.pl,blogomaniak.pl,16-apr-2029,1870992000.0,
bithub.pl,bithub.pl,22-sep-2024,1726963200.0,
botpanel.pl,botpanel.pl,13-dec-2024,1734048000.0,
cda.pl,cda.pl,21-mar-2026,1774051200.0,
czasdzieci.pl,czasdzieci.pl,20-aug-2025,1755648000.0,
cdn.gallery,cdn.gallery,09-apr-2025,1744156800.0,"GoDaddy.com, LLC"
cloudfront.net,cloudfront.net,25-apr-2024,1714003200.0,MarkMonitor Inc.
chozoba.pl,chozoba.pl,15-sep-2024,1726358400.0,
ciechocinek.biz,ciechocinek.biz,06-nov-2024,1730851200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
chlodnictwoiklimatyzacja.pl,chlodnictwoiklimatyzacja.pl,08-sep-2025,1757289600.0,
cdn-lubimyczytac.pl,cdn-lubimyczytac.pl,04-jul-2024,1720051200.0,
contextweb.com,contextweb.com,16-mar-2026,1773619200.0,"Network Solutions, LLC"
converti.se,converti.se,12-dec-2024,1733961600.0,Key-Systems Gmbh
codziennypoznan.pl,codziennypoznan.pl,09-sep-2024,1725840000.0,
damdaj.pl,damdaj.pl,31-oct-2024,1730332800.0,
daib.pl,daib.pl,28-mar-2024,1711584000.0,
e-aptekarodzinna.pl,e-aptekarodzinna.pl,25-sep-2026,1790294400.0,
e-krajna.pl,e-krajna.pl,01-oct-2024,1727740800.0,
dowcip.net,dowcip.net,25-jan-2024,1706140800.0,OVH sas
egnatius-ear.com,egnatius-ear.com,26-dec-2023,1703548800.0,DropCatch.com 1283 LLC
efilmy.tv,efilmy.tv,21-oct-2024,1729468800.0,Tucows Domains Inc.
ebrokerpartner.pl,ebrokerpartner.pl,22-mar-2024,1711065600.0,
eluban.pl,eluban.pl,20-jul-2025,1752969600.0,
elka.pl,elka.pl,19-jun-2026,1781827200.0,
epoznan.pl,epoznan.pl,29-nov-2025,1764374400.0,
eostroleka.pl,eostroleka.pl,15-dec-2024,1734220800.0,
eurogol.pl,eurogol.pl,08-dec-2023,1701993600.0,
evertiq.pl,evertiq.pl,15-apr-2024,1713139200.0,
exyzz.pl,exyzz.pl,17-jan-2024,1705449600.0,
exs.pl,exs.pl,22-apr-2024,1713744000.0,
fadstrack.com,fadstrack.com,02-dec-2024,1733097600.0,"NameCheap, Inc."
fechallenge.com,fechallenge.com,20-nov-2024,1732060800.0,"NameSilo, LLC"
filmweb.pl,filmweb.pl,11-jan-2024,1704931200.0,
fwcdn.pl,fwcdn.pl,18-may-2026,1779062400.0,
freeware.info.pl,freeware.info.pl,10-nov-2024,1731196800.0,
freedisc.pl,freedisc.pl,25-jan-2025,1737763200.0,
gazeta-mlawska.pl,gazeta-mlawska.pl,16-sep-2024,1726444800.0,
gazetalubliniecka.pl,gazetalubliniecka.pl,21-sep-2024,1726876800.0,
getionary.pl,getionary.pl,25-apr-2024,1714003200.0,
googleusercontent.com,googleusercontent.com,17-nov-2024,1731801600.0,MarkMonitor Inc.
glos.live,glos.live,06-oct-2024,1728172800.0,Tucows Domains Inc.
gorzow24.pl,gorzow24.pl,18-aug-2024,1723939200.0,
gorzowianin.com,gorzowianin.com,23-apr-2026,1776902400.0,1API GmbH
gra.pl,gra.pl,26-feb-2025,1740528000.0,
gowork.pl,gowork.pl,10-sep-2025,1757462400.0,
gry-online.pl,gry-online.pl,06-may-2026,1778025600.0,
gram.pl,gram.pl,08-apr-2026,1775606400.0,
gf24.pl,gf24.pl,08-apr-2024,1712534400.0,
gramwzielone.pl,gramwzielone.pl,15-oct-2026,1792022400.0,
hd-opinie.pl,hd-opinie.pl,27-apr-2024,1714176000.0,
haker.com.pl,haker.com.pl,27-may-2024,1716768000.0,
gwiazdybasketu.pl,gwiazdybasketu.pl,26-mar-2024,1711411200.0,
hdtvpolska.com,hdtvpolska.com,30-jan-2026,1769731200.0,Key-Systems GmbH
hipek.pl,hipek.pl,11-jan-2024,1704931200.0,
haloursynow.pl,haloursynow.pl,07-jun-2024,1717718400.0,
hiperogloszenia.pl,hiperogloszenia.pl,24-nov-2024,1732406400.0,
hotcash.pl,hotcash.pl,22-jan-2024,1705881600.0,
home.pl,home.pl,19-jul-2024,1721347200.0,
historia.org.pl,historia.org.pl,10-oct-2026,1791590400.0,
hotmoda.pl,hotmoda.pl,12-jul-2024,1720742400.0,
hyipforum.pl,hyipforum.pl,28-dec-2023,1703721600.0,
hyperreal.info,hyperreal.info,19-feb-2024,1708300800.0,"NameSilo, LLC"
ilawa24.pl,ilawa24.pl,14-jul-2024,1720915200.0,
ifotos.pl,ifotos.pl,13-jun-2025,1749772800.0,
igrit.pl,igrit.pl,10-jul-2024,1720569600.0,
inowroclaw.info.pl,inowroclaw.info.pl,06-nov-2024,1730851200.0,
info.stargard.pl,info.stargard.pl,03-sep-2029,1883088000.0,
info.elblag.pl,info.elblag.pl,11-sep-2024,1726012800.0,
interia.pl,interia.pl,05-jan-2025,1736035200.0,
ipolska24.pl,ipolska24.pl,09-mar-2024,1709942400.0,
jarock.pl,jarock.pl,05-nov-2024,1730764800.0,
iv.pl,iv.pl,22-dec-2025,1766361600.0,
ipon.pl,ipon.pl,30-aug-2024,1724976000.0,
iturek.net,iturek.net,12-dec-2023,1702339200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
jastrzebieonline.pl,jastrzebieonline.pl,05-dec-2024,1733356800.0,
kcynia.info,kcynia.info,23-mar-2024,1711152000.0,PDR Ltd. d/b/a PublicDomainRegistry.com
ki24.info,ki24.info,09-nov-2024,1731110400.0,OVH SAS
klikplej.pl,klikplej.pl,18-jan-2025,1737158400.0,
kopaczka.pl,kopaczka.pl,03-may-2024,1714694400.0,
lubliniec.net,lubliniec.net,23-apr-2024,1713830400.0,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA"
lubliniec.info,lubliniec.info,15-oct-2024,1728950400.0,NetArt Registrar Sp. z o.o.
meczelive.tv,meczelive.tv,10-oct-2024,1728518400.0,Key-Systems GmbH
mgr.farm,mgr.farm,23-apr-2025,1745366400.0,SafeNames Ltd.
medycznamarihuana.com,medycznamarihuana.com,20-apr-2024,1713571200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
miedzyrzec.info,miedzyrzec.info,12-dec-2024,1733961600.0,PDR Ltd. d/b/a PublicDomainRegistry.com
nizanskie.info,nizanskie.info,03-jan-2024,1704240000.0,Tucows Domains Inc.
opensubtitles.org,opensubtitles.org,03-dec-2023,1701561600.0,"GoDaddy.com, LLC"
ono24.info,ono24.info,17-mar-2024,1710633600.0,NetArt Registrar Sp. z o.o.
polacywewloszech.com,polacywewloszech.com,07-nov-2024,1730937600.0,Key-Systems GmbH
popclck.org,popclck.org,06-feb-2024,1707177600.0,"GoDaddy.com, LLC"
prl24.co.uk,prl24.co.uk,06-nov-2024,1730851200.0,
rkantor.com,rkantor.com,11-sep-2024,1726012800.0,Zone of Domains LLC
rtbnowads.com,rtbnowads.com,05-apr-2024,1712275200.0,Dynadot16 LLC
sadeczanin.info,sadeczanin.info,09-dec-2024,1733702400.0,NetArt Registrar Sp. z o.o.
shopeasy.by,shopeasy.by,26-jul-2024,1721952000.0,"Reliable Software, Ltd"
solutions4ad.com,solutions4ad.com,21-jan-2024,1705795200.0,Key-Systems GmbH
spolecznosci.net,spolecznosci.net,21-jul-2024,1721520000.0,Tucows Domains Inc.
swiat-gier.com,swiat-gier.com,20-feb-2024,1708387200.0,DropCatch.com 1531 LLC
szczecinek.com,szczecinek.com,13-nov-2024,1731456000.0,CSL Computer Service Langenbach GmbH d/b/a joker.com
tvsat-sklep.com,tvsat-sklep.com,14-may-2024,1715644800.0,Key-Systems GmbH
urban.one,urban.one,22-jul-2024,1721606400.0,OVH sas
viralseedmedia.com,viralseedmedia.com,15-aug-2024,1723680000.0,OVH sas
weszlo.com,weszlo.com,05-mar-2025,1741132800.0,PDR Ltd. d/b/a PublicDomainRegistry.com
wp.com,wp.com,29-mar-2024,1711670400.0,MarkMonitor Inc.
zamioculcas.org,zamioculcas.org,13-mar-2025,1741824000.0,OVH sas
zap-hosting.com,zap-hosting.com,25-dec-2023,1703462400.0,Vautron Rechenzentrum AG
zamioculcas2.org,zamioculcas2.org,11-jan-2024,1704931200.0,OVH sas
extragoals.com,extragoals.com,01-jun-2024,1717200000.0,Key-Systems GmbH
userload.co,userload.co,03-jun-2024,1717372800.0,"NameCheap, Inc."
postlnk.com,postlnk.com,04-jul-2024,1720051200.0,"URL Solutions, Inc."
playtube.ws,playtube.ws,02-mar-2024,1709337600.0,Tucows
nowwatchtvlive.co,nowwatchtvlive.co,14-may-2024,1715644800.0,Dynadot Inc
onlystream.tv,onlystream.tv,25-may-2024,1716595200.0,"Name.com, Inc."
coin-hive.com,coin-hive.com,24-aug-2028,1850688000.0,1API GmbH
coinhive.com,coinhive.com,01-dec-2024,1733011200.0,1API GmbH
coin-have.com,coin-have.com,23-sep-2024,1727049600.0,REGISTRAR OF DOMAIN NAMES REG.RU LLC
hqq.tv,hqq.tv,14-sep-2025,1757808000.0,"NameCheap, Inc."
vidoza.net,vidoza.net,18-nov-2025,1763424000.0,Internet Domain Service BS Corp
